Activity,Mobility,Complexity,Kurtosis,2nd Difference Mean,2nd Difference Max,Coeffiecient of Variation,Skewness,1st Difference Mean,1st Difference Max,Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,Variance,Mean of Vertex to Vertex Slope,FFT Delta MaxPower,FFT Theta MaxPower,FFT Alpha MaxPower,FFT Beta MaxPower,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Result
-0.06148733,3.975973931,-2.134084529,7.191174298,-0.199040162,-0.052098522,0.149629019,1.190960209,-0.122610187,0.163925884,-0.016383592,-0.979749018,-0.398566887,0.039510183,-0.417679185,-0.032600229,-0.344542354,-0.031481836,-0.523456434,-0.037638094,-0.969290028,-1.227202525,-0.907424455,-0.155880317,4.13919424,0.18795153,2.484284273,4.310747144,0.337363891,2.664707303,4.621292389,0.107293461,2.923577969,4.189831462,0.385411299,2.824708155,2.821977916,1.12544298,1.860928309,4.71378322,0.30757132,2.709176256,4.024382089,0.245623171,2.049883873,4.161581715,0.137062983,2.531002924,4.455072605,0.163259057,2.551559827,4.282784182,0.053612106,2.119596334,4.567705455,0.074803632,2.277656819,3.941956335,-0.075084737,2.639153072,4.495340826,0.13924105,2.383336908,3.900793942,0.272271366,2.821591864,1
-0.060809424,3.202832044,-2.011593387,11.15877618,-0.158802597,0.055746692,0.116404882,5.093806137,-0.072536608,0.109764282,-0.007104771,-0.767811066,-0.201352346,-0.031850589,-0.394851958,-0.034111315,-0.326955717,-0.032227714,0.106909293,-0.03772292,-0.969291445,-1.22666931,-0.885479555,-0.153255961,2.998577431,0.291321666,2.804662806,2.798459836,0.293219783,3.28423198,3.311817675,0.238402932,2.367693486,2.927505608,0.242875141,3.116154046,3.379944375,0.564260448,2.863197197,3.68344293,0.541848497,3.019290973,2.969006468,0.556558873,2.398353464,3.091119948,0.281592466,2.529294903,3.057150016,0.058348717,3.047429284,2.913774161,0.090606155,2.865480711,2.918564548,0.144759912,2.702936307,2.885365324,0.08731865,2.881213952,3.401751417,0.606337958,3.324309808,2.980984407,0.624643205,2.558362388,1
-0.061670421,4.293726984,-2.124502105,4.239089731,-0.144960507,-0.115556752,-0.121515845,0.776302388,-0.026368748,0.148313403,-0.004500533,-1.041869438,-0.880931015,0.043952253,-0.424288266,-0.032747005,-0.348920162,-0.03168039,-0.294336573,-0.036013615,-0.969286311,-1.227486278,-0.913697806,-0.156867142,4.063222974,0.218083948,2.281458713,4.427400276,0.729463963,3.049917566,4.497958206,0.251694369,2.738924548,4.963062652,0.997209165,2.607494495,4.971611978,0.711741011,1.604790509,5.249445797,0.408397897,2.06513328,4.458940974,0.532139631,1.939876807,4.877972248,0.295030234,1.829679284,4.60095517,0.38339964,2.412445337,4.536757913,0.589376797,2.334448174,4.923678629,0.551087752,2.067230774,4.193099939,0.253011906,2.480819973,4.8934806,0.815375155,2.47065936,4.05866108,0.334398806,2.271850017,1
-0.062728995,4.026964162,-2.102937804,0.52139023,-0.170971671,-0.068527637,0.399184943,-0.259278784,-0.075789483,-0.062916325,-0.002515137,-1.040582702,0.145372197,-0.016377465,-0.424077625,-0.03385625,-0.348671698,-0.032169235,-0.073792913,-0.037960059,-0.969287264,-1.227445883,-0.913845532,-0.156563409,3.90852685,0.360031448,2.109501211,3.845329383,0.326841616,2.738599454,4.46085154,0.40624854,2.44082199,4.112591057,0.420931492,2.336475158,4.26886876,0.859863427,2.43069324,5.175712171,0.74946585,2.08587206,4.264119619,0.870551415,1.965213768,4.10204738,0.277000552,2.179420023,4.267136578,0.241952234,2.079222497,4.563293716,0.657637218,2.799001848,4.436893999,0.715423683,2.725673823,4.231840116,0.66062998,2.385213232,4.167297852,0.524609594,2.750125081,3.860088764,0.767801295,2.40001271,1
-0.062845781,3.924662741,-2.089712461,0.374940093,-0.159117673,-0.055480389,0.5298439,0.1123499,-0.081397291,-0.076917356,0.008534628,-1.023043603,-0.019905359,-0.028825622,-0.422958947,-0.034063912,-0.348308098,-0.032252837,0.08250627,-0.038234179,-0.969288466,-1.227512117,-0.913456539,-0.156547963,3.598521574,0.28120493,2.294500429,4.078973228,0.554894898,2.423473471,4.052247618,0.33816686,2.577524986,3.985615234,0.459709315,2.415182931,4.487343613,0.936257134,2.292706732,4.613712065,0.393006606,2.264644338,3.870599618,0.342669085,1.867192635,4.081705811,0.081681263,1.883878141,4.378192517,0.421747908,2.092504528,3.924828496,0.630705085,2.617417632,4.250087397,0.30027388,2.044689815,3.694331775,-0.011364776,2.229809797,3.871671354,0.199552938,2.377053775,3.658709674,0.534618639,2.110786275,1
-0.060443328,3.662084226,-2.054013183,2.887397572,-0.055804056,0.09994936,-0.051646102,0.720011291,0.01346927,0.111670573,-0.000922455,-0.867873835,-0.553766768,0.048205856,-0.408942386,-0.032670158,-0.340816104,-0.031687052,-0.821894094,-0.035965545,-0.968449966,-1.21462811,-0.88866132,-0.155179861,2.95307774,-0.000973796,2.393047885,3.97197694,0.740119032,3.324195382,3.169895543,-0.194976083,2.793184437,3.893354362,0.439512722,2.556154426,3.400999362,0.537221789,2.327543606,3.811183467,0.134135022,1.778542404,3.151674206,0.041276822,0.939092075,3.766795655,0.117081332,1.624390424,3.695102115,0.120023678,2.130142318,3.887004705,0.40352412,2.348834617,4.292374122,0.553131364,2.537988236,3.559482131,0.051920932,2.369798386,3.814939594,0.055444442,2.381489315,3.130376443,0.276166569,2.679475496,1
-0.061290302,3.243498084,-1.99606768,0.288048943,-0.059455625,-0.034429522,0.041637518,-0.215651621,-0.005205125,-0.061721574,0.025035641,-0.826484911,-0.332508859,-0.014947411,-0.404306857,-0.033870108,-0.339849009,-0.032189295,0.158820833,-0.037546675,-0.969274188,-1.226900501,-0.8978967,-0.154143111,2.598844635,0.094348582,2.637627098,3.219684952,0.277115182,3.252100442,2.727075753,-0.154287042,2.524115852,3.201314549,0.301500069,2.725448093,2.499924939,0.040058219,2.901193748,3.683091759,0.425960698,2.844560262,3.396917323,0.493774956,2.32218073,3.580921497,-0.017837359,2.271712111,3.008480841,-0.239609886,2.720356784,3.261029835,0.179539679,2.546869758,3.159059617,-0.006741148,2.244263456,2.792131224,-0.270176606,2.382152898,3.355069197,0.112441549,2.481842662,2.225197637,0.081969732,2.489900547,1
0.060279234,3.052080999,-1.983184294,4.095599164,0.259912173,0.399709492,0.282657297,0.029239324,0.336104519,0.713644692,-0.028358866,-0.317268884,1.340170942,0.504664574,-0.082462759,0.066376722,0.041856753,0.049616718,0.710142422,0.052346116,-0.969273348,-1.207812014,-0.379210177,0.004275528,2.265522394,0.135770318,2.748357561,2.82241575,0.044285989,3.386702604,2.490516765,0.05873331,2.703194261,2.876672505,0.25167217,3.201997767,2.733484058,0.84053199,2.729570612,3.436949512,0.149384842,2.708013362,3.101004823,0.40446309,2.454911829,3.519625518,0.233069463,2.726567052,3.282972387,0.287952905,2.837491238,2.904709522,0.136756558,3.04034828,2.897942692,0.029012858,2.908231351,2.756189591,-0.078847575,2.953040243,3.142550915,0.117728089,3.244632006,2.198680452,0.294539053,2.652152095,1
-0.05498508,3.332019775,-2.00512769,1.316517361,0.089086573,0.021967012,-0.048165686,0.468929012,0.135022143,0.156862108,-0.014242581,-0.63987507,0.809252059,0.062264044,-0.344716481,-0.031959422,-0.29471916,-0.031373721,0.155582032,-0.033486593,-0.969275697,-1.226142186,-0.875060415,-0.14316865,2.60797082,-0.271036105,3.142831978,3.318437904,0.086970865,3.293391507,2.809026226,-0.330557607,3.260951888,3.245439694,0.085785156,2.991665018,1.38527928,1.142414865,2.168112414,3.58342723,-0.120014677,3.109945624,3.570309271,0.331939368,2.69938637,3.79427372,-0.21389066,2.363753753,3.533547172,0.160154613,3.167796705,3.272780874,0.158738994,3.03885957,3.417795196,-0.081647743,2.789418145,3.223101283,-0.199497995,3.010167373,3.525374325,-0.050892054,2.911191368,2.534474524,0.018145521,3.105444268,1
-0.053560427,3.111702779,-1.989654232,0.266615111,0.065152673,0.045128533,-0.177652931,0.289259467,0.105112803,0.010597631,-0.012744737,-0.647751369,-0.045578469,0.04450591,-0.326759217,-0.031871297,-0.273093562,-0.031288859,-0.150605198,-0.034853896,-0.969281072,-1.226369191,-0.860906885,-0.124316879,2.256527219,-0.211490376,2.894014551,3.066535233,0.347049082,2.988765212,2.512585139,-0.072841196,2.662829718,3.024651861,0.236304904,3.104293029,1.114906053,1.084424634,2.07945995,3.349144004,0.243055537,2.665383739,3.295402821,0.518120348,1.991243122,3.626295263,0.005037816,2.416145838,2.813418412,-0.0435521,2.948758046,3.453479806,0.209680932,2.654338463,3.152667432,-0.278423448,2.19117852,2.624690456,-0.257552299,2.656334033,3.772483255,0.121753804,2.379985756,2.164003664,-0.060517372,2.707176303,1
