Activity,Mobility,Complexity,Kurtosis,2nd Difference Mean,2nd Difference Max,Coeffiecient of Variation,Skewness,1st Difference Mean,1st Difference Max,Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,Variance,Mean of Vertex to Vertex Slope,FFT Delta MaxPower,FFT Theta MaxPower,FFT Alpha MaxPower,FFT Beta MaxPower,Autro Regressive Mode Order 3 Coefficients for each channel ->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.32805756,1.704764582,1.036943951,15.07522703,2.42597786,14.80012297,618.424075,0.284156172,3.800622943,47.99476429,-0.033266957,2.629299374,-0.13125717,4.748091354,1607.665747,5000.091107,7184.126076,27999.55913,-0.115606658,39.53187834,7.25E-05,0.001503104,0.048096961,0.607177691,0.764798512,0.394681158,0.239407541,0.853579199,0.434382276,0.194577467,0.665578508,0.420084085,0.332054735,0.754219575,0.42995579,0.263271043,0.270290308,0.639265946,0.103353965,0.735392503,0.422026618,0.273812726,0.651823365,0.345409254,0.224188656,0.640108393,0.396185303,0.28653723,0.759206842,0.391358363,0.234463839,0.807885938,0.356814845,0.165969663,0.769086176,0.357341328,0.203347785,0.657515973,0.350238454,0.2778739,0.828419056,0.386397931,0.188485873,0.621890396,0.362049459,0.337994797,1
18.01190601,1.5074442,1.112826183,23.16627456,2.689767766,25.98274432,507.3854742,1.132414157,4.211728231,41.3458382,-0.012411256,4.531585176,-0.062732198,3.695368561,4203.091058,2764.627019,25848.12465,10659.24471,0.060929187,38.56362675,4.02E-05,0.003124009,0.141951728,1.462231937,0.307375175,0.428591605,0.298794686,0.26679643,0.420615954,0.298494025,0.217372652,0.458489461,0.222217976,0.293519842,0.383685258,0.317256196,0.476983764,0.449303378,0.278202108,0.40318588,0.494717552,0.33683445,0.270937355,0.434622161,0.296801307,0.259087389,0.439644642,0.286178441,0.263303097,0.360998467,0.329884329,0.282716408,0.367984519,0.307259287,0.188909856,0.378447082,0.286494669,0.245072574,0.400398486,0.324137291,0.418998668,0.527957925,0.357554009,0.270972626,0.465913752,0.288408257,1
14.60319711,1.78586115,1.042880182,9.05510272,2.78051391,8.22005012,-287.7709003,0.194033012,4.590767476,46.07816241,-0.006557798,2.071726786,-0.298861385,4.813621304,856.222089,4782.95353,2538.132976,23383.54774,-0.051440942,58.07460151,0.000157184,0.000640532,0.02126686,0.285655224,0.734331637,0.404566061,0.201810668,0.898841794,0.556658522,0.259191075,0.623363792,0.462382869,0.295569217,1.03641882,0.628559522,0.223036087,1.06660214,0.499226148,0.058670129,0.90810307,0.453310835,0.142929874,0.808656057,0.427615852,0.201265839,0.895101003,0.443685316,0.139216267,0.810957712,0.455064621,0.207693945,0.905313468,0.518579158,0.20666811,0.894319384,0.501035867,0.162207146,0.755550615,0.451574629,0.24761281,0.977475493,0.591309456,0.204175426,0.6821185,0.380361997,0.234435741,1
10.41227515,1.71777825,1.056239085,1.473675887,2.609989606,13.09656492,1452.466512,-0.031043769,4.185022048,20.14741419,-0.002095289,2.083276105,0.057742131,3.923629969,880.1715891,3141.964922,2801.81766,12018.7763,0.010322983,35.85678031,0.000135466,0.000763327,0.02063506,0.384616041,0.672293609,0.451131765,0.16993567,0.672992401,0.431100909,0.206971837,0.610662955,0.507655808,0.236667377,0.726029838,0.441486466,0.172834589,0.806277488,0.549366188,0.202750785,0.884329566,0.559136543,0.147144423,0.738344855,0.524712129,0.20654545,0.618917695,0.438263875,0.212683265,0.692537786,0.414131301,0.143571652,0.915492937,0.539189139,0.294666486,0.723066028,0.550615886,0.290940107,0.770672957,0.577471853,0.229340167,0.705605612,0.503189046,0.254388082,0.606360909,0.508110693,0.258578723,1
9.949915936,1.691668999,1.064432074,1.175023186,2.687702192,14.44945236,1889.142645,0.04972729,4.13898181,18.42863536,0.022740903,2.240701326,0.000314115,3.739993242,1007.363844,2834.753991,3187.691706,10075.18145,0.054095046,32.72781904,0.00010809,0.000561983,0.022298719,0.389648458,0.54797171,0.425272822,0.204228153,0.763648576,0.502219231,0.154113882,0.470806363,0.487712912,0.26367841,0.679688612,0.454074644,0.1874138,0.887209454,0.575225768,0.178678717,0.703127143,0.448535264,0.183474647,0.596323133,0.373253429,0.186120212,0.611677301,0.379532279,0.15060135,0.731934142,0.466162187,0.146127522,0.670569617,0.531057476,0.26026978,0.657346497,0.425365522,0.157800137,0.560855,0.369919049,0.199639003,0.594928319,0.404676259,0.187356959,0.529532502,0.439378323,0.204094938,1
19.46129086,1.624654013,1.086547476,6.298625173,3.365006837,30.56618094,-54.25878723,0.181798511,4.917838564,41.57985621,0.001484531,3.633454456,-0.185183556,4.876370972,2601.02817,4896.639787,11138.64798,23228.67226,-0.199185035,58.62330178,0.019211347,0.039727724,0.128343836,0.835396754,0.289128363,0.332704435,0.222495457,0.722132934,0.559981301,0.305197324,0.168795669,0.331541469,0.306290384,0.64601699,0.447518363,0.213526255,0.484783387,0.440150682,0.184756091,0.444372518,0.368213239,0.084688681,0.336862306,0.286778702,-0.007273541,0.499587932,0.390176914,0.09609302,0.489612363,0.378846521,0.153370187,0.656059933,0.462464354,0.209393271,0.672223186,0.501652423,0.254245481,0.508216046,0.38946552,0.226394036,0.573688959,0.361002243,0.188153909,0.327967382,0.3631976,0.311223255,1
16.10809777,1.51782294,1.122444228,0.997827881,3.34106784,16.63224632,257.5049932,-0.021561691,4.764521337,20.29408294,0.059829683,4.00494791,-0.108304377,3.944726301,3128.081686,3121.462359,12164.98662,11552.41382,0.075467172,40.575379,0.000433368,0.002421218,0.088845621,1.173185292,0.147069709,0.363974825,0.267832019,0.430236035,0.415593741,0.293104411,0.0172277,0.343460348,0.253125343,0.393449433,0.402716265,0.244884887,0.150988795,0.271858793,0.284830695,0.403072654,0.458760177,0.301325556,0.425370767,0.416608354,0.280928748,0.433427738,0.349607495,0.232070262,0.246038031,0.274772532,0.26694555,0.415928069,0.394836364,0.246906204,0.273517268,0.332739333,0.19681901,0.20867837,0.289982233,0.228755267,0.401521677,0.378275982,0.206184772,-0.017368599,0.305956598,0.275511579,1
497.4050721,1.468969692,1.130425377,8.762485408,5.434783072,61.64872919,1063.018728,0.031663751,7.566681747,115.4787312,-0.060183382,8.575504562,0.472891795,11.61010552,39721.3271,151424.1706,417254.1351,1913394.703,0.229866465,1066.662564,0.000452501,0.06044779,2.307183524,52.78833616,0.013396971,0.377563175,0.288357633,0.276091567,0.342986053,0.315682032,-0.063741503,0.405859553,0.288509299,0.274967741,0.386540977,0.333157214,0.237508586,0.542822418,0.254890639,0.323710442,0.372944915,0.273576402,0.31857568,0.390983213,0.308586705,0.411609999,0.425054002,0.327617687,0.343412082,0.427443388,0.289485811,0.279239098,0.381918786,0.340383688,0.18165498,0.343526288,0.32663214,0.194648448,0.349076261,0.337864944,0.321958619,0.379878139,0.343237999,-0.027485206,0.36861303,0.306076138,1
41.0706372,1.540415344,1.116831628,3.095162014,4.314882558,22.48008192,-42.62686749,0.127227423,5.915790591,47.12760896,-0.028454677,5.679896864,0.288416546,5.083759076,9903.428016,5948.0858,60059.50177,30513.04222,0.074560136,86.91945992,0.000398998,0.004726399,0.186512696,4.748828016,0.150729597,0.244110824,0.361479603,0.468553179,0.356297314,0.300030407,0.045277636,0.291826112,0.398716171,0.409553391,0.332690217,0.294196824,-0.261921264,0.645010998,0.156942948,0.3709384,0.289356309,0.35525735,0.487948077,0.370174885,0.359529298,0.509368496,0.290655185,0.25140465,0.432301821,0.390459971,0.353046712,0.420435916,0.388555979,0.340101688,0.364541786,0.310140073,0.303402833,0.376908796,0.311812082,0.34878325,0.465280882,0.328775539,0.283327467,0.100624041,0.287143924,0.391466235,1
46.71087608,1.484186294,1.126417305,0.954118316,4.157976409,24.88173256,-475.3870113,0.088177425,5.670234185,29.17205245,-0.025088022,5.609201779,-0.008606369,4.821788924,11945.14502,6078.454861,83009.88818,32485.93848,-0.011188532,71.31228978,0.000276543,0.004036333,0.247045042,10.8910155,0.009789622,0.263644728,0.315357422,0.370812395,0.437402599,0.248933627,-0.056187959,0.367317956,0.280533702,0.328974438,0.381552407,0.315059154,-0.362078497,0.625381069,0.141477319,0.295399823,0.402008823,0.264913181,0.388734092,0.423593474,0.211969339,0.449578112,0.356485953,0.2624102,0.176840931,0.331509494,0.310896957,0.489754308,0.403936962,0.267263532,0.271268464,0.250773,0.186440313,0.143317375,0.293881386,0.281157576,0.557794062,0.381098186,0.187883759,-0.040714794,0.263957435,0.316441467,1
